epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1213.66,0.78467,0.25411,0.00059,0.98223,0.98434,0.99455,0.83263,0.64885,0.19631,0.00055,0.000911,0.000911,0.000911
57,1235.14,0.77237,0.24525,0.00057,0.9828,0.98728,0.99444,0.82657,0.67068,0.2043,0.00056,0.0008912,0.0008912,0.0008912
58,1256.65,0.77031,0.24128,0.00057,0.98848,0.98213,0.99458,0.83791,0.6278,0.19287,0.00053,0.0008714,0.0008714,0.0008714
59,1278.34,0.81482,0.26178,0.0006,0.98849,0.9835,0.99453,0.81707,0.71732,0.2128,0.0006,0.0008516,0.0008516,0.0008516
60,1299.79,0.77057,0.24888,0.00057,0.98476,0.98668,0.99441,0.79449,0.78385,0.22882,0.00068,0.0008318,0.0008318,0.0008318
61,1321.21,0.78284,0.25649,0.00057,0.98726,0.98556,0.99464,0.8413,0.61698,0.19458,0.00051,0.000812,0.000812,0.000812
62,1342.97,0.75565,0.24114,0.00056,0.98291,0.98982,0.99462,0.81519,0.69646,0.21413,0.00058,0.0007922,0.0007922,0.0007922
63,1364.36,0.76871,0.24487,0.00056,0.98469,0.98728,0.9946,0.83472,0.63087,0.19137,0.00053,0.0007724,0.0007724,0.0007724
64,1385.81,0.77268,0.2503,0.00058,0.98116,0.99363,0.99437,0.81345,0.72858,0.21579,0.00062,0.0007526,0.0007526,0.0007526
65,1407.2,0.74311,0.23505,0.00054,0.9928,0.98601,0.99478,0.83312,0.65424,0.19476,0.00055,0.0007328,0.0007328,0.0007328
66,1428.67,0.75398,0.23321,0.00056,0.99275,0.98219,0.99472,0.83901,0.63451,0.18712,0.00054,0.000713,0.000713,0.000713
67,1450.06,0.7242,0.2322,0.00054,0.99335,0.98092,0.99452,0.82537,0.68638,0.20884,0.00057,0.0006932,0.0006932,0.0006932
68,1471.5,0.72396,0.23914,0.00052,0.99322,0.98728,0.99465,0.84026,0.625,0.19076,0.00052,0.0006734,0.0006734,0.0006734
69,1492.92,0.74382,0.23571,0.00054,0.991,0.99746,0.99487,0.84044,0.6262,0.18487,0.00052,0.0006536,0.0006536,0.0006536
70,1514.34,0.73646,0.23652,0.00054,0.99416,0.99364,0.99491,0.82402,0.68598,0.1969,0.00058,0.0006338,0.0006338,0.0006338
71,1535.72,0.73653,0.24455,0.00053,0.99271,0.99109,0.99491,0.84598,0.6113,0.18042,0.00052,0.000614,0.000614,0.000614
72,1557.57,0.73235,0.23586,0.00053,0.98801,0.99746,0.99482,0.82828,0.66785,0.20526,0.00056,0.0005942,0.0005942,0.0005942
73,1578.95,0.71326,0.23428,0.00052,0.99485,0.98307,0.99485,0.83958,0.63206,0.1912,0.00053,0.0005744,0.0005744,0.0005744
74,1600.37,0.71938,0.2324,0.00053,1,0.98471,0.99489,0.82649,0.67322,0.19373,0.00056,0.0005546,0.0005546,0.0005546
75,1621.79,0.72801,0.23775,0.00054,0.98529,0.98601,0.99475,0.83116,0.65617,0.20724,0.00054,0.0005348,0.0005348,0.0005348
76,1643.25,0.6976,0.23616,0.00052,0.98099,0.9848,0.99427,0.84708,0.60565,0.19239,0.00051,0.000515,0.000515,0.000515
77,1664.91,0.70746,0.22101,0.00051,0.98484,0.98601,0.99452,0.8367,0.64187,0.19331,0.00054,0.0004952,0.0004952,0.0004952
78,1686.43,0.70795,0.23016,0.00052,0.98329,0.98346,0.99437,0.84405,0.62524,0.19322,0.00053,0.0004754,0.0004754,0.0004754
79,1707.78,0.71122,0.22462,0.00051,0.97738,0.9893,0.99443,0.84584,0.60485,0.18855,0.0005,0.0004556,0.0004556,0.0004556
80,1729.16,0.70515,0.22454,0.0005,0.98346,0.98324,0.9944,0.84145,0.62018,0.19405,0.00051,0.0004358,0.0004358,0.0004358
81,1750.53,0.68872,0.21328,0.00051,0.98471,0.98326,0.99456,0.83875,0.62861,0.19481,0.00052,0.000416,0.000416,0.000416
82,1772,0.70606,0.22396,0.00052,0.98212,0.99109,0.99464,0.8447,0.61845,0.19015,0.00051,0.0003962,0.0003962,0.0003962
83,1793.42,0.70484,0.22707,0.00052,0.98723,0.98329,0.99437,0.84601,0.60187,0.19047,0.0005,0.0003764,0.0003764,0.0003764
84,1814.93,0.70046,0.219,0.00051,0.98603,0.98813,0.99448,0.84244,0.62543,0.19154,0.00052,0.0003566,0.0003566,0.0003566
85,1836.29,0.678,0.21976,0.0005,0.98125,0.99858,0.99464,0.85239,0.59757,0.18091,0.00049,0.0003368,0.0003368,0.0003368
86,1858.07,0.68291,0.22183,0.00049,0.98752,0.99491,0.99478,0.84046,0.63068,0.18746,0.00052,0.000317,0.000317,0.000317
87,1879.45,0.70001,0.21886,0.00051,0.98443,0.98982,0.99462,0.83658,0.64332,0.1965,0.00053,0.0002972,0.0002972,0.0002972
88,1900.9,0.68805,0.22305,0.0005,0.97973,0.99237,0.99459,0.85303,0.59565,0.18468,0.00049,0.0002774,0.0002774,0.0002774
89,1922.61,0.68146,0.21723,0.00049,0.99137,0.99109,0.99486,0.85078,0.59907,0.17737,0.0005,0.0002576,0.0002576,0.0002576
90,1944.06,0.67391,0.21206,0.00048,0.9943,0.98728,0.99487,0.84015,0.62574,0.1814,0.00052,0.0002378,0.0002378,0.0002378
91,1967.11,0.62751,0.19647,0.00055,0.98498,0.99618,0.99481,0.85048,0.59096,0.17644,0.00049,0.000218,0.000218,0.000218
92,1988.18,0.61396,0.19148,0.00054,0.98729,0.98832,0.99467,0.84486,0.61307,0.18625,0.00051,0.0001982,0.0001982,0.0001982
93,2009.27,0.60793,0.19347,0.00052,0.99737,0.97328,0.99456,0.84762,0.60389,0.18562,0.0005,0.0001784,0.0001784,0.0001784
94,2030.34,0.61666,0.1908,0.00053,0.99617,0.99298,0.99494,0.8508,0.59699,0.17618,0.00049,0.0001586,0.0001586,0.0001586
95,2051.36,0.61411,0.19301,0.00053,0.9914,0.99237,0.99491,0.84969,0.59691,0.18021,0.00049,0.0001388,0.0001388,0.0001388
96,2072.5,0.6065,0.19058,0.00053,0.99232,0.9859,0.9948,0.84972,0.59622,0.18761,0.00049,0.000119,0.000119,0.000119
97,2093.49,0.59748,0.1855,0.00052,0.9923,0.98375,0.99481,0.84949,0.59807,0.18836,0.0005,9.92e-05,9.92e-05,9.92e-05
98,2114.52,0.6094,0.1976,0.00052,0.99358,0.98487,0.99485,0.84999,0.60228,0.18863,0.0005,7.94e-05,7.94e-05,7.94e-05
99,2135.53,0.59775,0.19156,0.00051,0.99234,0.9889,0.9948,0.84537,0.61594,0.18797,0.00051,5.96e-05,5.96e-05,5.96e-05
100,2156.63,0.59678,0.18599,0.00052,0.99349,0.98855,0.99473,0.84618,0.61468,0.18665,0.00051,3.98e-05,3.98e-05,3.98e-05
