frame,id,x,y
1240,2,1730,376
1241,2,1730,375
1242,2,1730,375
1243,2,1729,374
1244,2,1729,373
1245,2,1728,372
1246,2,1728,371
1247,2,1728,370
1248,2,1727,369
1249,2,1727,369
1250,2,1727,368
1251,2,1726,367
1252,2,1726,366
1253,2,1726,365
1254,2,1725,364
1255,2,1725,363
1256,2,1724,362
1257,2,1724,362
1258,2,1724,361
1259,2,1723,360
1260,2,1723,360
1261,2,1722,359
1262,2,1722,358
1263,2,1722,357
1264,2,1722,356
1265,2,1721,355
1266,2,1721,354
1267,2,1721,353
1268,2,1720,351
1269,2,1720,351
1270,2,1720,350
1271,2,1720,350
1272,2,1719,349
1273,2,1719,348
1274,2,1718,347
1275,2,1718,346
1276,2,1718,345
1277,2,1718,345
1278,2,1717,344
1279,2,1717,343
1280,2,1717,343
1281,2,1717,342
1282,2,1716,341
1283,2,1716,340
1284,2,1716,339
1285,2,1715,338
1286,2,1715,338
1287,2,1715,337
1288,2,1715,337
1289,2,1715,336
1290,2,1715,335
1291,2,1714,334
1292,2,1714,333
1293,2,1713,332
1294,2,1713,331
1295,2,1712,330
1296,2,1712,328
1297,2,1712,328
1298,2,1711,327
1299,2,1711,327
1300,2,1711,326
1301,2,1711,325
1302,2,1711,324
1303,2,1711,323
1304,2,1710,322
1305,2,1710,321
1306,2,1710,321
1307,2,1710,320
1308,2,1710,320
1309,2,1709,319
1310,2,1708,318
1311,2,1708,317
1312,2,1708,316
1313,2,1708,315
1314,2,1707,314
1315,2,1707,314
1316,2,1707,313
1317,2,1707,313
1318,2,1707,312
1319,2,1707,311
1320,2,1707,311
1321,2,1706,310
1322,2,1706,309
1323,2,1706,308
1324,2,1706,308
1325,2,1706,307
1326,2,1706,306
1327,2,1706,305
1328,2,1706,304
1329,2,1706,303
1330,2,1705,302
1331,2,1705,301
1332,2,1705,299
1333,2,1705,298
1334,2,1704,298
1335,2,1704,297
1336,2,1704,297
1337,2,1704,297
1338,2,1703,296
1339,2,1703,295
1340,2,1703,294
1341,2,1703,294
1342,2,1702,293
1343,2,1702,292
1344,2,1701,292
1345,2,1701,292
1346,2,1700,291
1347,2,1700,290
1348,2,1700,289
1349,2,1700,289
1350,2,1699,288
1351,2,1699,288
1352,2,1698,287
1353,2,1698,287
1354,2,1697,286
1355,2,1697,286
1356,2,1697,285
1357,2,1696,285
1358,2,1696,285
1359,2,1695,284
1360,2,1695,283
1361,2,1694,283
1362,2,1694,283
1363,2,1693,283
1364,2,1692,282
1365,2,1691,282
1366,2,1691,282
1367,2,1690,281
1368,2,1689,281
1369,2,1688,281
1370,2,1688,281
1371,2,1687,280
1372,2,1686,280
1373,2,1685,280
1374,2,1684,280
1375,2,1683,279
1376,2,1683,279
1377,2,1682,279
1378,2,1682,279
1379,2,1681,279
1380,2,1680,279
1381,2,1679,279
1382,2,1679,279
1383,2,1678,280
1384,2,1677,280
1385,2,1676,280
1386,2,1676,280
1387,2,1675,280
1388,2,1674,280
1389,2,1673,280
1390,2,1673,280
1391,2,1672,279
1392,2,1672,279
1393,2,1671,279
1394,2,1670,279
1395,2,1669,280
1396,2,1668,280
1397,2,1667,281
1398,2,1666,281
1399,2,1665,281
1400,2,1665,282
1401,2,1665,282
1402,2,1664,282
1403,2,1663,282
1404,2,1662,283
1405,2,1662,283
1406,2,1661,283
1407,2,1661,283
1408,2,1660,284
1409,2,1659,284
1410,2,1659,284
1411,2,1658,284
1412,2,1657,284
1413,2,1656,285
1414,2,1656,286
1415,2,1655,286
1416,2,1654,286
1417,2,1654,287
1418,2,1654,287
1419,2,1653,287
1420,2,1653,287
1421,2,1652,287
1422,2,1652,287
1423,2,1651,287
1424,2,1651,288
1425,2,1650,288
1426,2,1649,288
1427,2,1649,288
1428,2,1648,288
1429,2,1648,288
1430,2,1647,288
1431,2,1647,288
1432,2,1647,288
1433,2,1647,289
1434,2,1647,289
1435,2,1647,289
1436,2,1647,289
1437,2,1647,290
1438,2,1648,290
1439,2,1648,290
1440,2,1648,290
1441,2,1648,290
1442,2,1648,290
1443,2,1648,290
1444,2,1648,290
1445,2,1647,289
1446,2,1647,289
1447,2,1646,289
1448,2,1646,289
1449,2,1645,290
1450,2,1645,290
1451,2,1645,291
1452,2,1644,291
1453,2,1644,291
1454,2,1644,291
1455,2,1644,291
1456,2,1644,291
1457,2,1644,291
1458,2,1644,290
1459,2,1644,290
1460,2,1645,290
1461,2,1645,290
1462,2,1645,290
1463,2,1645,290
1464,2,1645,290
1465,2,1645,290
1466,2,1645,291
1467,2,1645,291
1468,2,1644,291
1469,2,1644,291
1470,2,1644,291
1471,2,1644,291
1472,2,1644,291
1473,2,1644,291
1474,2,1644,290
1475,2,1645,290
1476,2,1645,290
1477,2,1645,290
1478,2,1644,290
1479,2,1643,290
1480,2,1642,290
1481,2,1642,290
1482,2,1641,291
1483,2,1640,291
1484,2,1639,291
1485,2,1638,292
1486,2,1637,292
1487,2,1636,292
1488,2,1636,292
1489,2,1635,292
1490,2,1635,292
1491,2,1634,292
1492,2,1633,293
1493,2,1632,293
1494,2,1631,293
1495,2,1631,293
1496,2,1630,293
1497,2,1629,293
1498,2,1628,293
1499,2,1627,293
1500,2,1626,294
1501,2,1625,294
1502,2,1624,294
1503,2,1624,294
1504,2,1623,294
1505,2,1622,294
1506,2,1622,295
1507,2,1621,295
1508,2,1621,295
1509,2,1620,295
1510,2,1620,295
1511,2,1619,295
1512,2,1618,296
1513,2,1618,296
1514,2,1618,297
1518,2,1617,297
1519,2,1617,297
1520,2,1617,297
1521,2,1617,297
1527,2,1613,298
1528,2,1609,298
1529,2,1608,299
1534,2,1606,299
1535,2,1606,299
1536,2,1606,299
230,3,1571,731
231,3,1571,731
232,3,1571,729
233,3,1571,728
234,3,1571,727
235,3,1571,726
236,3,1572,725
237,3,1573,725
238,3,1573,724
239,3,1574,723
240,3,1574,722
241,3,1575,721
242,3,1575,720
243,3,1575,720
244,3,1575,719
245,3,1575,718
246,3,1576,718
247,3,1577,717
248,3,1577,717
249,3,1578,716
250,3,1578,716
251,3,1578,715
252,3,1579,715
253,3,1579,714
254,3,1580,714
255,3,1581,713
256,3,1582,712
257,3,1582,711
258,3,1583,711
259,3,1583,710
260,3,1583,710
261,3,1584,709
262,3,1584,708
263,3,1585,708
264,3,1585,707
265,3,1585,707
266,3,1586,706
267,3,1586,706
268,3,1587,705
269,3,1587,705
270,3,1588,704
271,3,1588,703
272,3,1589,703
273,3,1589,702
274,3,1590,702
275,3,1590,701
276,3,1590,701
277,3,1591,700
278,3,1591,699
279,3,1591,698
280,3,1591,698
281,3,1591,697
282,3,1591,696
283,3,1592,695
284,3,1592,695
285,3,1593,694
286,3,1593,693
287,3,1594,692
288,3,1594,691
289,3,1594,690
290,3,1594,690
291,3,1594,690
292,3,1594,689
293,3,1594,688
294,3,1595,687
295,3,1595,686
296,3,1596,685
297,3,1596,684
298,3,1596,683
299,3,1597,682
300,3,1597,682
301,3,1597,681
302,3,1598,681
303,3,1598,680
304,3,1599,679
305,3,1599,678
306,3,1599,678
307,3,1600,677
308,3,1600,676
309,3,1601,675
310,3,1601,675
311,3,1601,674
312,3,1602,673
313,3,1602,672
314,3,1603,671
315,3,1603,670
316,3,1603,669
317,3,1603,669
318,3,1604,668
319,3,1604,667
320,3,1604,667
321,3,1605,666
